log10.xvals,log10.ccdf,
64,0.806179974,-1.5591033568
65,0.8129133566,-1.5591033568
66,0.8195439355,-1.5591033568
67,0.8260748027,-1.5591033568
68,0.8325089127,-1.559460948
69,0.8388490907,-1.6803641234
70,0.84509804,-1.6803641234
71,0.8512583487,-1.6808369535
72,0.8573324964,-1.6808369535
73,0.8633228601,-1.6813102991
74,0.8692317197,-1.7031631498
75,0.8750612634,-1.7031631498
76,0.8808135923,-1.7031631498
77,0.8864907252,-1.7031631498
78,0.8920946027,-1.7031631498
79,0.8976270913,-1.8555112636
80,0.903089987,-1.8555112636
81,0.9084850189,-1.8555112636
82,0.9138138524,-1.8590623421
83,0.9190780924,-1.8590623421
84,0.9242792861,-1.869162669
85,0.9294189257,-1.869162669
86,0.9344984512,-1.869162669
87,0.9395192526,-1.869162669
88,0.9444826722,-1.869162669
89,0.9493900066,-1.9218690195
90,0.9542425094,-1.9218690195
91,0.9590413923,-1.9218690195
92,0.9637878273,-1.9218690195
93,0.9684829486,-1.9218690195
94,0.9731278536,-1.9235203313
95,0.9777236053,-1.9243483478
96,0.982271233,-1.9243483478
97,0.9867717343,-1.9251779459
98,0.9912260757,-1.9251779459
99,0.9956351946,-2.1768120144
100,1,-2.1768120144
101,1.0043213738,-2.1768120144
102,1.0086001718,-2.1768120144
103,1.0128372247,-2.1782967833
104,1.0170333393,-2.1782967833
105,1.0211892991,-2.1782967833
106,1.0253058653,-2.1782967833
107,1.0293837777,-2.1782967833
108,1.0334237555,-2.1903612947
109,1.0374264979,-2.1903612947
110,1.0413926852,-2.1903612947
111,1.0453229788,-2.1903612947
112,1.0492180227,-2.1903612947
113,1.0530784435,-2.1903612947
114,1.0569048513,-2.1903612947
115,1.0606978404,-2.1918931992
116,1.0644579892,-2.1918931992
117,1.0681858617,-2.1918931992
118,1.0718820073,-2.3470144445
119,1.0755469614,-2.3470144445
120,1.079181246,-2.3470144445
121,1.0827853703,-2.3492134086
122,1.0863598307,-2.3492134086
123,1.0899051114,-2.3536450234
124,1.0934216852,-2.3536450234
125,1.096910013,-2.3536450234
126,1.1003705451,-2.3536450234
127,1.103803721,-2.3536450234
128,1.1072099696,-2.3765079063
129,1.1105897103,-2.3765079063
130,1.1139433523,-2.3788618117
131,1.1172712957,-2.3788618117
132,1.1205739312,-2.3788618117
133,1.123851641,-2.3788618117
134,1.1271047984,-2.3788618117
135,1.1303337685,-2.3788618117
136,1.1335389084,-2.381228545
137,1.1367205672,-2.381228545
138,1.1398790864,-2.4368537587
139,1.1430148003,-2.4368537587
140,1.1461280357,-2.4368537587
141,1.1492191127,-2.4368537587
142,1.1522883444,-2.4368537587
143,1.1553360375,-2.4368537587
144,1.1583624921,-2.4368537587
145,1.1613680022,-2.4368537587
146,1.1643528558,-2.4368537587
147,1.1673173347,-2.6480444401
