city;area;population
Berlin, Stadt;891.7;3375222
Hamburg, Freie und Hansestadt;755.3;1734272
München, Landeshauptstadt;310.7;1388308
Köln, Stadt;405.16;1024373
Frankfurt am Main, Stadt;248.31;687775
Stuttgart, Landeshauptstadt;207.35;597939
Düsseldorf, Stadt;217.41;593682
Dortmund, Stadt;280.71;572087
Essen, Stadt;210.3;566862
Bremen, Stadt;325.42;546451
Dresden, Stadt;328.31;525105
Leipzig, Stadt;297.39;520838
Hannover, Landeshauptstadt;204.15;514137
Nürnberg;186.37;495121
Duisburg, Stadt;232.8;486816
Bochum, Stadt;145.66;362213
Wuppertal, Stadt;168.39;342885
Bielefeld, Stadt;258.82;328314
Bonn, Stadt;141.09;309869
Münster, Stadt;302.96;296599
Karlsruhe, Stadt;173.46;296033
Mannheim, Universitätsstadt;144.96;294627
Augsburg;146.84;272699
Wiesbaden, Landeshauptstadt;203.93;272636
Gelsenkirchen, Stadt;104.94;257607
Mönchengladbach, Stadt;170.45;255087
Braunschweig, Stadt;192.17;245798
Chemnitz, Stadt;220.86;241210
Aachen, Stadt;160.85;240086
Kiel, Landeshauptstadt;118.65;239866
Halle (Saale), Stadt;135.01;231440
Magdeburg, Landeshauptstadt;201;229924
Krefeld, Stadt;137.75;222026
Freiburg im Breisgau, Stadt;153.06;218043
Lübeck, Hansestadt;214.21;211713
Oberhausen, Stadt;77.1;210005
Erfurt, Stadt;269.15;203485
Rostock, Hansestadt;181.27;202887
Mainz, Stadt;97.74;202756
Kassel, documenta-Stadt;106.78;192874
Hagen, Stadt der FernUniversität;160.35;186243
Saarbrücken, Landeshauptstadt;167.09;176996
Hamm, Stadt;226.43;176440
Mülheim an der Ruhr, Stadt;91.28;166654
Ludwigshafen am Rhein, Stadt;77.55;160179
Leverkusen, Stadt;78.87;159926
Potsdam, Stadt;187.66;159456
Oldenburg (Oldenburg), Stadt;102.99;158658
Osnabrück, Stadt;119.8;155625
Solingen, Klingenstadt;89.55;155316
Herne, Stadt;51.42;154563
Neuss, Stadt;99.53;151486
Heidelberg, Stadt;108.83;150335
Darmstadt, Wissenschaftsstadt;122.09;147925
Paderborn, Stadt;179.6;143575
Regensburg;80.7;138296
Ingolstadt;133.37;127886
Würzburg;87.63;124577
Wolfsburg, Stadt;204.05;121758
Fürth;63.35;118358
Ulm, Universitätsstadt;118.69;117977
Heilbronn, Stadt;99.88;117531
Offenbach am Main, Stadt;44.89;116945
Göttingen, Stadt;116.89;116650
Bottrop, Stadt;100.61;116498
Pforzheim, Stadt;98;116425
Recklinghausen, Stadt;66.43;115385
Reutlingen, Stadt;87.06;110681
Koblenz, Stadt;105.12;109779
Remscheid, Stadt;74.52;109352
Bergisch Gladbach, Stadt;83.09;109138
Bremerhaven, Stadt;93.82;108323
Jena, Stadt;114.48;106915
Trier, Stadt;117.13;106544
Erlangen;76.95;105412
Moers, Stadt;67.68;103504
Cottbus, Stadt;164.29;99913
Siegen, Universitätsstadt;114.69;99261
Hildesheim, Stadt;92.18;99224
Salzgitter, Stadt;223.92;98095
Kaiserslautern, Stadt;139.73;97112
Witten, Stadt;72.37;96136
Gera, Stadt;151.92;95384
Gütersloh, Stadt;112.02;94973
Iserlohn, Stadt;125.49;93799
Zwickau, Stadt;102.55;92227
Schwerin, Landeshauptstadt;130.53;91264
Hanau, Brüder-Grimm-Stadt;76.49;88834
Düren, Stadt;85;88768
Esslingen am Neckar, Stadt;46.42;88295
Ludwigsburg, Stadt;43.35;88200
Ratingen, Stadt;88.74;86821
Lünen, Stadt;59.2;84798
Dessau-Roßlau, Stadt;244.74;84606
Tübingen, Universitätsstadt;108.12;84496
Marl, Stadt;87.66;84055
Flensburg, Stadt;56.74;83462
Villingen-Schwenningen, Stadt;165.48;80923
Velbert, Stadt;74.9;80902
Minden, Stadt;101.12;79853
Worms, Stadt;108.73;79727
Konstanz, Universitätsstadt;54.11;79645
Neumünster, Stadt;71.63;76951
Gießen, Universitätsstadt;72.56;76680
Wilhelmshaven, Stadt;106.91;76545
Dorsten, Stadt;171.2;76030
Viersen, Stadt;91.08;74952
Norderstedt, Stadt;58.1;74574
Castrop-Rauxel, Stadt;51.67;74123
Gladbeck, Stadt;35.91;74002
Arnsberg, Stadt;193.72;73897
Detmold, Stadt;129.39;73602
Delmenhorst, Stadt;62.36;73588
Lüdenscheid, Stadt;87.02;73336
Rheine, Stadt;145;73285
Troisdorf, Stadt;62.2;72784
Marburg, Universitätsstadt;123.92;72433
Bayreuth;66.91;71482
Brandenburg an der Havel, Stadt;228.84;71149
Bocholt, Stadt;119.4;71080
Lüneburg, Hansestadt;70.34;71009
Bamberg;54.62;70863
Celle, Stadt;175.04;68613
Aschaffenburg;62.47;67681
Dinslaken, Stadt;47.66;67379
